Distance Group ,Sampling Timestamp,Aluminum Dissolved,Aluminum Total Recoverable,Calcium Dissolved,Calcium Total,Copper Dissolved,Copper Total Recoverable,Lead Dissolved,Lead Total Recoverable,Mercury Dissolved,Mercury Total,Methyl Mercury,Nickel Dissolved,Nickel Total Recoverable,Nitrogen Kjeldahl Dissolved,Nitrogen Kjeldahl Total,pH,pH (Field),Phosphorus Total,Phosphorus Total Dissolved,Turbidity,Vanadium Total Recoverable,Vanadium Dissolved,OXYGEN BIOCHEMICAL DEMAND,Oxygen Dissolved (Field Meter),Oxygen dissolved % saturation,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Timestamp,Sample Location,Sample Type,,,,
Mid,08/31/2003 12:00 PM,,,16.9,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,03SWE02484,03SWE02484,0.003,08/31/2003 11:00 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,06/17/2004 2:30 PM,,,15.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE01029,04SWE01030,0.003,06/17/2004 1:30 PM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,07/14/2004 9:15 AM,,,16.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE01843,04SWE01844,0.003,07/14/2004 8:15 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,08/24/2004 3:05 PM,,,16.6,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE02174,04SWE02174,0.003,08/24/2004 2:05 PM,Centre,SINGLE EUPHOTIC COMPOSITE,,,,
Mid,09/25/2004 1:10 PM,,,17.2,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,04SWE03253,04SWE03254,0.003,09/25/2004 12:10 PM,Centre,SINGLE EUPHOTIC COMPOSITE,,,,
Mid,04/07/2005 8:00 AM,,,21.6,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,1,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE01009,05SWE01010,0.003,04/07/2005 7:00 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,05/26/2005 12:00 PM,,,12.4,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE04399,05SWE04399,0.003,05/26/2005 11:00 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,07/13/2005 12:00 PM,,,18.6,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE04409,05SWE04409,0.003,07/13/2005 11:00 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,08/30/2005 8:55 AM,,,27.57,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE03024,05SWE03025,0.003,08/30/2005 7:55 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,09/28/2005 12:00 PM,,,30.01,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,05SWE04418,05SWE04418,0.003,09/28/2005 11:00 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,08/23/2006 12:00 PM,,,16.38,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,06SWE03220,06SWE01907,0.003,08/23/2006 11:00 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,08/23/2007 9:45 AM,,,16.57,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,07SWE02704,07SWE02704,0.003,08/23/2007 8:45 AM,Centre,SINGLE EUPHOTIC COMPOSITE,,,,
Mid,09/05/2008 12:15 PM,,,20.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,08SWE03960,08SWE02165,0.003,09/05/2008 11:15 AM,Centre,DISCRETE SAMPLE (GRAB),,,,
Mid,08/17/2009 4:15 PM,,,19.1,,,,,,,,,,,,,,,,,,,,,,,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,09SWE00811,09SWE00715,0.003,08/17/2009 3:15 PM,Centre,DISCRETE SAMPLE (GRAB),,,,
